race_id,year,date,race_name,track,grade,surface,distance,url
2017_satsuki2017,2017,4月16日日曜,GⅠ皐月賞,中山,G1,Turf,2000,https://www.jra.go.jp/datafile/seiseki/g1/satsuki/result/satsuki2017.html
2017_haruten2017,2017,4月30日日曜,GⅠ天皇賞（春）,京都,G1,Turf,3200,https://www.jra.go.jp/datafile/seiseki/g1/haruten/result/haruten2017.html
2017_nmc2017,2017,5月7日日曜,GⅠNHKマイルC,東京,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/nmc/result/nmc2017.html
2017_victoria2017,2017,5月14日日曜,GⅠヴィクトリアマイル,東京,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/victoria/result/victoria2017.html
2017_oaks2017,2017,5月21日日曜,GⅠオークス,東京,G1,Turf,2400,https://www.jra.go.jp/datafile/seiseki/g1/oaks/result/oaks2017.html
2017_derby2017,2017,5月28日日曜,GⅠ日本ダービー,東京,G1,Turf,2400,https://www.jra.go.jp/datafile/seiseki/g1/derby/result/derby2017.html
2017_yasuda2017,2017,6月4日日曜,GⅠ安田記念,東京,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/yasuda/result/yasuda2017.html
2017_takara2017,2017,6月25日日曜,GⅠ宝塚記念,阪神,G1,Turf,2200,https://www.jra.go.jp/datafile/seiseki/g1/takara/result/takara2017.html
2017_sprint2017,2017,10月1日日曜,GⅠスプリンターズS,中山,G1,Turf,1200,https://www.jra.go.jp/datafile/seiseki/g1/sprint/result/sprint2017.html
2017_shuka2017,2017,10月15日日曜,GⅠ秋華賞,京都,G1,Turf,2000,https://www.jra.go.jp/datafile/seiseki/g1/shuka/result/shuka2017.html
2017_kikka2017,2017,10月22日日曜,GⅠ菊花賞,京都,G1,Turf,3000,https://www.jra.go.jp/datafile/seiseki/g1/kikka/result/kikka2017.html
2017_akiten2017,2017,10月29日日曜,GⅠ天皇賞（秋）,東京,G1,Turf,2000,https://www.jra.go.jp/datafile/seiseki/g1/akiten/result/akiten2017.html
2017_eliza2017,2017,11月12日日曜,GⅠエリザベス女王杯,京都,G1,Turf,2200,https://www.jra.go.jp/datafile/seiseki/g1/eliza/result/eliza2017.html
2017_mile2017,2017,11月19日日曜,GⅠマイルチャンピオンシップ,京都,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/mile/result/mile2017.html
2017_jc2017,2017,11月26日日曜,GⅠジャパンC,東京,G1,Turf,2400,https://www.jra.go.jp/datafile/seiseki/g1/jc/result/jc2017.html
2017_jcd2017,2017,12月3日日曜,GⅠチャンピオンズC,中京,G1,Dirt,1800,https://www.jra.go.jp/datafile/seiseki/g1/jcd/result/jcd2017.html
2017_hjf2017,2017,12月10日日曜,GⅠ阪神ジュベナイルF,阪神,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/hjf/result/hjf2017.html
2017_afs2017,2017,12月17日日曜,GⅠ朝日杯フューチュリティS,阪神,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/afs/result/afs2017.html
2017_daishogai2017,2017,12月23日祝日・土曜,J・GⅠ中山大障害,中山,G1,Obstacle,4100,https://www.jra.go.jp/datafile/seiseki/g1/daishogai/result/daishogai2017.html
2017_arima2017,2017,12月24日日曜,GⅠ有馬記念,中山,G1,Turf,2500,https://www.jra.go.jp/datafile/seiseki/g1/arima/result/arima2017.html
2017_hopeful2017,2017,12月28日木曜,GⅠホープフルS,中山,G1,Turf,2000,https://www.jra.go.jp/datafile/seiseki/g1/hopeful/result/hopeful2017.html
2018_feb2018,2018,2月18日日曜,GⅠフェブラリーS,東京,G1,Dirt,1600,https://www.jra.go.jp/datafile/seiseki/g1/feb/result/feb2018.html
2018_takamatsu2018,2018,3月25日日曜,GⅠ高松宮記念,中京,G1,Turf,1200,https://www.jra.go.jp/datafile/seiseki/g1/takamatsu/result/takamatsu2018.html
2018_osaka2018,2018,4月1日日曜,GⅠ大阪杯,阪神,G1,Turf,2000,https://www.jra.go.jp/datafile/seiseki/g1/osaka/result/osaka2018.html
2018_ouka2018,2018,4月8日日曜,GⅠ桜花賞,阪神,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/ouka/result/ouka2018.html
2018_ngj2018,2018,4月14日土曜,J・GⅠ中山グランドジャンプ,中山,G1,Obstacle,4250,https://www.jra.go.jp/datafile/seiseki/g1/ngj/result/ngj2018.html
2018_satsuki2018,2018,4月15日日曜,GⅠ皐月賞,中山,G1,Turf,2000,https://www.jra.go.jp/datafile/seiseki/g1/satsuki/result/satsuki2018.html
2018_haruten2018,2018,4月29日祝日・日曜,GⅠ天皇賞（春）,京都,G1,Turf,3200,https://www.jra.go.jp/datafile/seiseki/g1/haruten/result/haruten2018.html
2018_nmc2018,2018,5月6日日曜,GⅠNHKマイルC,東京,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/nmc/result/nmc2018.html
2018_victoria2018,2018,5月13日日曜,GⅠヴィクトリアマイル,東京,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/victoria/result/victoria2018.html
2018_oaks2018,2018,5月20日日曜,GⅠオークス,東京,G1,Turf,2400,https://www.jra.go.jp/datafile/seiseki/g1/oaks/result/oaks2018.html
2018_derby2018,2018,5月27日日曜,GⅠ日本ダービー,東京,G1,Turf,2400,https://www.jra.go.jp/datafile/seiseki/g1/derby/result/derby2018.html
2018_yasuda2018,2018,6月3日日曜,GⅠ安田記念,東京,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/yasuda/result/yasuda2018.html
2018_takara2018,2018,6月24日日曜,GⅠ宝塚記念,阪神,G1,Turf,2200,https://www.jra.go.jp/datafile/seiseki/g1/takara/result/takara2018.html
2018_sprint2018,2018,9月30日日曜,GⅠスプリンターズS,中山,G1,Turf,1200,https://www.jra.go.jp/datafile/seiseki/g1/sprint/result/sprint2018.html
2018_shuka2018,2018,10月14日日曜,GⅠ秋華賞,京都,G1,Turf,2000,https://www.jra.go.jp/datafile/seiseki/g1/shuka/result/shuka2018.html
2018_kikka2018,2018,10月21日日曜,GⅠ菊花賞,京都,G1,Turf,3000,https://www.jra.go.jp/datafile/seiseki/g1/kikka/result/kikka2018.html
2018_akiten2018,2018,10月28日日曜,GⅠ天皇賞（秋）,東京,G1,Turf,2000,https://www.jra.go.jp/datafile/seiseki/g1/akiten/result/akiten2018.html
2018_race_18,2018,11月4日日曜,JpnⅠJBCスプリント,京都,G1,Dirt,1200,https://www.jra.go.jp/datafile/seiseki/g1/jbc/result/jbc_sp2018.html
2018_race_19,2018,11月4日日曜,JpnⅠJBCクラシック,京都,G1,Dirt,1900,https://www.jra.go.jp/datafile/seiseki/g1/jbc/result/jbc_c2018.html
2018_race_20,2018,11月4日日曜,JpnⅠJBCレディスクラシック,京都,G1,Dirt,1800,https://www.jra.go.jp/datafile/seiseki/g1/jbc/result/jbc_la2018.html
2018_eliza2018,2018,11月11日日曜,GⅠエリザベス女王杯,京都,G1,Turf,2200,https://www.jra.go.jp/datafile/seiseki/g1/eliza/result/eliza2018.html
2018_mile2018,2018,11月18日日曜,GⅠマイルチャンピオンシップ,京都,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/mile/result/mile2018.html
2018_jc2018,2018,11月25日日曜,GⅠジャパンC,東京,G1,Turf,2400,https://www.jra.go.jp/datafile/seiseki/g1/jc/result/jc2018.html
2018_jcd2018,2018,12月2日日曜,GⅠチャンピオンズC,中京,G1,Dirt,1800,https://www.jra.go.jp/datafile/seiseki/g1/jcd/result/jcd2018.html
2018_hjf2018,2018,12月9日日曜,GⅠ阪神ジュベナイルF,阪神,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/hjf/result/hjf2018.html
2018_afs2018,2018,12月16日日曜,GⅠ朝日杯フューチュリティS,阪神,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/afs/result/afs2018.html
2018_daishogai2018,2018,12月22日土曜,J・GⅠ中山大障害,中山,G1,Obstacle,4100,https://www.jra.go.jp/datafile/seiseki/g1/daishogai/result/daishogai2018.html
2018_arima2018,2018,12月23日祝日・日曜,GⅠ有馬記念,中山,G1,Turf,2500,https://www.jra.go.jp/datafile/seiseki/g1/arima/result/arima2018.html
2018_hopeful2018,2018,12月28日金曜,GⅠホープフルS,中山,G1,Turf,2000,https://www.jra.go.jp/datafile/seiseki/g1/hopeful/result/hopeful2018.html
2019_feb2019,2019,2月17日日曜,GⅠフェブラリーS,東京,G1,Dirt,1600,https://www.jra.go.jp/datafile/seiseki/g1/feb/result/feb2019.html
2019_takamatsu2019,2019,3月24日日曜,GⅠ高松宮記念,中京,G1,Turf,1200,https://www.jra.go.jp/datafile/seiseki/g1/takamatsu/result/takamatsu2019.html
2019_osaka2019,2019,3月31日日曜,GⅠ大阪杯,阪神,G1,Turf,2000,https://www.jra.go.jp/datafile/seiseki/g1/osaka/result/osaka2019.html
2019_ouka2019,2019,4月7日日曜,GⅠ桜花賞,阪神,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/ouka/result/ouka2019.html
2019_ngj2019,2019,4月13日土曜,J・GⅠ中山グランドジャンプ,中山,G1,Obstacle,4250,https://www.jra.go.jp/datafile/seiseki/g1/ngj/result/ngj2019.html
2019_satsuki2019,2019,4月14日日曜,GⅠ皐月賞,中山,G1,Turf,2000,https://www.jra.go.jp/datafile/seiseki/g1/satsuki/result/satsuki2019.html
2019_haruten2019,2019,4月28日日曜,GⅠ天皇賞（春）,京都,G1,Turf,3200,https://www.jra.go.jp/datafile/seiseki/g1/haruten/result/haruten2019.html
2019_nmc2019,2019,5月5日祝日・日曜,GⅠNHKマイルC,東京,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/nmc/result/nmc2019.html
2019_victoria2019,2019,5月12日日曜,GⅠヴィクトリアマイル,東京,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/victoria/result/victoria2019.html
2019_oaks2019,2019,5月19日日曜,GⅠオークス,東京,G1,Turf,2400,https://www.jra.go.jp/datafile/seiseki/g1/oaks/result/oaks2019.html
2019_derby2019,2019,5月26日日曜,GⅠ日本ダービー,東京,G1,Turf,2400,https://www.jra.go.jp/datafile/seiseki/g1/derby/result/derby2019.html
2019_yasuda2019,2019,6月2日日曜,GⅠ安田記念,東京,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/yasuda/result/yasuda2019.html
2019_takara2019,2019,6月23日日曜,GⅠ宝塚記念,阪神,G1,Turf,2200,https://www.jra.go.jp/datafile/seiseki/g1/takara/result/takara2019.html
2019_sprint2019,2019,9月29日日曜,GⅠスプリンターズS,中山,G1,Turf,1200,https://www.jra.go.jp/datafile/seiseki/g1/sprint/result/sprint2019.html
2019_shuka2019,2019,10月13日日曜,GⅠ秋華賞,京都,G1,Turf,2000,https://www.jra.go.jp/datafile/seiseki/g1/shuka/result/shuka2019.html
2019_kikka2019,2019,10月20日日曜,GⅠ菊花賞,京都,G1,Turf,3000,https://www.jra.go.jp/datafile/seiseki/g1/kikka/result/kikka2019.html
2019_akiten2019,2019,10月27日日曜,GⅠ天皇賞（秋）,東京,G1,Turf,2000,https://www.jra.go.jp/datafile/seiseki/g1/akiten/result/akiten2019.html
2019_eliza2019,2019,11月10日日曜,GⅠエリザベス女王杯,京都,G1,Turf,2200,https://www.jra.go.jp/datafile/seiseki/g1/eliza/result/eliza2019.html
2019_mile2019,2019,11月17日日曜,GⅠマイルチャンピオンシップ,京都,G1,Turf,1600,https://www.jra.go.jp/datafile/seiseki/g1/mile/result/mile2019.html
2019_jc2019,2019,11月24日日曜,GⅠジャパンC,東京,G1,Turf,2400,https://www.jra.go.jp/datafile/seiseki/g1/jc/result/jc2019.html
