horse_id,horse_name,sire_id,sire_name,dam_id,dam_name,grandsire_id,grandsire_name,dam_sire_id,dam_sire_name
0001149751,コンテッサトゥーレ,0000742976,ディープインパクト,0000316322,エアトゥーレ,0000333862,サンデーサイレンス(USA),0000161740,トニービン(IRE)
0001125261,コントレイル,0000732025,シベリアンホーク(USA),0000769506,ブルースカイソング(USA),0000362681,スピニングワールド(USA),0000336770,Crafty Prospector(USA)
0001052215,ゴスホークケン,0000372597,Bernstein(USA),0001051964,オールザウェイベイビー(USA),0000337102,Storm Cat(USA),0000369314,Grand Slam(USA)
0001123358,ゴットフリート,0000619817,ローエングリン,0000729239,マチカネエンジイロ,0000263172,Singspiel(IRE),0000333862,サンデーサイレンス(USA)
0000271682,ゴーカイ,0000333822,ジヤツジアンジエルーチ(USA),0000160167,ユウミロク,0000335866,Honest Pleasure(USA),0000085885,カツラノハイセイコ
0001045948,ゴールスキー,0000701577,ネオユニヴァース,0000384028,ニキーヤ(USA),0000333862,サンデーサイレンス(USA),0000336085,Nureyev(USA)
0000991264,ゴールデンチケット,0000729458,キングカメハメハ,0000308975,アグネスショコラ,0000347989,Kingmambo(USA),0000333862,サンデーサイレンス(USA)
0001136428,ゴールドアクター,0000801447,スクリーンヒーロー,0000616661,ヘイロンシン,0000299089,グラスワンダー(USA),0000237622,キョウワアリシバ(USA)
0000619768,ゴールドアリュール,0000333862,サンデーサイレンス(USA),0000384028,ニキーヤ(USA),0000335154,Halo(USA),0000336085,Nureyev(USA)
0001104811,ゴールドシップ,0000286968,ステイゴールド,0000329411,ポイントフラッグ,0000333862,サンデーサイレンス(USA),0000203356,メジロマックイーン
0000383330,ゴールドドリーム,0000335975,Mr. Prospector(USA),0000394464,Trim the Sail(USA),0000334066,Raise a Native(USA),0000334999,Graustark(USA)
0000701785,サイレントディール,0000333862,サンデーサイレンス(USA),0000383774,フェアリードール(USA),0000335154,Halo(USA),0000336085,Nureyev(USA)
0001140030,サウンズオブアース,0000701577,ネオユニヴァース,0000765623,ファーストバイオリン(USA),0000333862,サンデーサイレンス(USA),0000336397,Dixieland Band(USA)
0001104154,サウンドオブハート,0000324933,アグネスタキオン,0000320930,シンメイミネルバ,0000333862,サンデーサイレンス(USA),0000336202,Caerleon(USA)
0001206439,サウンドキアラ,0000742976,ディープインパクト,0001046374,サウンドバリアー,0000333862,サンデーサイレンス(USA),0000321138,アグネスデジタル(USA)
0001119786,サウンドトゥルー,0000362799,フレンチデピュティ(USA),0000318870,キョウエイトルース,0000338072,Deputy Minister(CAN),0000262443,フジキセキ
0000890568,サクセスブロッケン,0000700008,シンボリクリスエス(USA),0000616294,サクセスビューティ,0000336209,Kris S.(USA),0000333862,サンデーサイレンス(USA)
0001089694,サクラゴスペル,0000702412,サクラプレジデント,0000306819,サクラブルース,0000333862,サンデーサイレンス(USA),0000335907,Cure the Blues(USA)
0000702412,サクラプレジデント,0000333862,サンデーサイレンス(USA),0000202712,セダンフオーエバー,0000335154,Halo(USA),0000069360,マルゼンスキー
0000761087,サクラメガワンダー,0000299089,グラスワンダー(USA),0000327755,サクラメガ,0000336890,Silver Hawk(USA),0000333862,サンデーサイレンス(USA)
0000611754,サクラヴィクトリア,0000161740,トニービン(IRE),0000279922,サクラユスラウメ,0000336378,カンパラ(GB),0000145106,サクラユタカオー
0001093089,サダムパテック,0000262443,フジキセキ,0000619977,サマーナイトシティ,0000333862,サンデーサイレンス(USA),0000365099,エリシオ(FR)
0001137571,サトノアラジン,0000742976,ディープインパクト,0000719406,マジックストーム(USA),0000333862,サンデーサイレンス(USA),0000337102,Storm Cat(USA)
0001189935,サトノアレス,0000742976,ディープインパクト,0001000909,サトノアマゾネス(IRE),0000333862,サンデーサイレンス(USA),0000337424,デインヒル(USA)
0001162905,サトノクラウン,0000341019,Marju(IRE),0001144190,ジョコンダⅡ(IRE),0000337436,ラストタイクーン(IRE),0000372694,Rossini(USA)
0001175221,サトノダイヤモンド,0000742976,ディープインパクト,0001144170,マルペンサ(ARG),0000333862,サンデーサイレンス(USA),0000369736,Orpen(USA)
0001119611,サトノノブレス,0000742976,ディープインパクト,0000316409,クライウィズジョイ,0000333862,サンデーサイレンス(USA),0000161740,トニービン(IRE)
0001237091,サトノフラッグ,0000742976,ディープインパクト,0001165011,バラダセール(ARG),0000333862,サンデーサイレンス(USA),0000897975,Not for Sale(ARG)
0001157744,サトノラーゼン,0000742976,ディープインパクト,0001129824,トゥーピー(GB),0000333862,サンデーサイレンス(USA),0000369531,Intikhab(USA)
0001221390,サトノルークス,0000742976,ディープインパクト,0001127924,リッスン(IRE),0000333862,サンデーサイレンス(USA),0000336572,Sadler's Wells(USA)
0001269505,サトノレイナス,0000742976,ディープインパクト,0001165011,バラダセール(ARG),0000333862,サンデーサイレンス(USA),0000897975,Not for Sale(ARG)
0001109032,サナシオン,0000700008,シンボリクリスエス(USA),0000743043,ジェダイト,0000336209,Kris S.(USA),0000333862,サンデーサイレンス(USA)
