race_id,year,date,race_name,track,grade,grade_weight,surface,distance,going,weather,num_runners,url
2010_新潟_新潟記念,2010,8/29（日）,新潟記念,Niigata,,0.0,Turf,2000,,,17,https://www.jra.go.jp/datafile/seiseki/replay/2010/072.html
2010_札幌_キーンランドＣ,2010,8/29（日）,キーンランドＣ,Sapporo,,0.0,Turf,1200,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2010/073.html
2010_新潟_新潟２歳Ｓ,2010,9/5（日）,新潟２歳Ｓ,Niigata,,0.0,Turf,1600,,,18,https://www.jra.go.jp/datafile/seiseki/replay/2010/074.html
2010_小倉_小倉２歳Ｓ,2010,9/5（日）,小倉２歳Ｓ,Kokura,,0.0,Turf,1200,,,17,https://www.jra.go.jp/datafile/seiseki/replay/2010/075.html
2010_阪神_朝日チャレンジＣ,2010,9/11（土）,朝日チャレンジＣ,Hanshin,,0.0,Turf,2000,,,9,https://www.jra.go.jp/datafile/seiseki/replay/2010/076.html
2010_中山_京成杯オータムＨ,2010,9/12（日）,京成杯オータムＨ,Nakayama,,0.0,Turf,1600,,,14,https://www.jra.go.jp/datafile/seiseki/replay/2010/077.html
2010_阪神_セントウルＳ,2010,9/12（日）,セントウルＳ,Hanshin,,0.0,Turf,1200,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2010/078.html
2010_中山_セントライト記念,2010,9/19（日）,St. Lite Kinen,Nakayama,,0.0,Turf,2200,,,17,https://www.jra.go.jp/datafile/seiseki/replay/2010/079.html
2010_阪神_ローズＳ,2010,9/19（日）,Rose Stakes,Hanshin,,0.0,Turf,1800,,,12,https://www.jra.go.jp/datafile/seiseki/replay/2010/080.html
2010_阪神_阪神ジャンプＳ,2010,9/20（祝・月）,阪神ジャンプＳ,Hanshin,,0.0,,3140,,,14,https://www.jra.go.jp/datafile/seiseki/replay/2010/081.html
2010_札幌_エルムＳ,2010,9/20（祝・月）,エルムＳ,Sapporo,,0.0,,1700,,,13,https://www.jra.go.jp/datafile/seiseki/replay/2010/082.html
2010_中山_オールカマー,2010,9/26（日）,オールカマー,Nakayama,,0.0,Turf,2200,,,10,https://www.jra.go.jp/datafile/seiseki/replay/2010/083.html
2010_阪神_神戸新聞杯,2010,9/26（日）,Kobe Shimbun Hai,Hanshin,,0.0,Turf,2400,,,12,https://www.jra.go.jp/datafile/seiseki/replay/2010/084.html
2010_阪神_シリウスＳ,2010,10/2（土）,シリウスＳ,Hanshin,,0.0,,2000,,,12,https://www.jra.go.jp/datafile/seiseki/replay/2010/085.html
2010_札幌_札幌２歳Ｓ,2010,10/2（土）,札幌２歳Ｓ,Sapporo,,0.0,Turf,1800,,,14,https://www.jra.go.jp/datafile/seiseki/replay/2010/086.html
2010_中山_スプリンターズＳ,2010,10/3（日）,Sprinters Stakes,Nakayama,,0.0,Turf,1200,,,16,https://www.jra.go.jp/datafile/seiseki/g1/sprint/result/sprint2010.html
2010_東京_毎日王冠,2010,10/10（日）,毎日王冠,Tokyo,,0.0,Turf,1800,,,10,https://www.jra.go.jp/datafile/seiseki/replay/2010/087.html
2010_京都_京都大賞典,2010,10/10（日）,京都大賞典,Kyoto,,0.0,Turf,2400,,,11,https://www.jra.go.jp/datafile/seiseki/replay/2010/088.html
2010_東京_東京ハイジャンプ,2010,10/16（土）,東京ハイジャンプ,Tokyo,,0.0,,3300,,,14,https://www.jra.go.jp/datafile/seiseki/replay/2010/089.html
2010_京都_デイリー杯２歳Ｓ,2010,10/16（土）,デイリー杯２歳Ｓ,Kyoto,,0.0,Turf,1600,,,12,https://www.jra.go.jp/datafile/seiseki/replay/2010/090.html
2010_東京_府中牝馬Ｓ,2010,10/17（日）,府中牝馬Ｓ,Tokyo,,0.0,Turf,1800,,,17,https://www.jra.go.jp/datafile/seiseki/replay/2010/091.html
2010_京都_秋華賞,2010,10/17（日）,Shuka Sho,Kyoto,,0.0,Turf,2000,,,18,https://www.jra.go.jp/datafile/seiseki/g1/shuka/result/shuka2010.html
2010_東京_富士Ｓ,2010,10/23（土）,富士Ｓ,Tokyo,,0.0,Turf,1600,,,17,https://www.jra.go.jp/datafile/seiseki/replay/2010/092.html
2010_京都_菊花賞,2010,10/24（日）,Kikuka Sho (Japanese St. Leger),Kyoto,,0.0,Turf,3000,,,18,https://www.jra.go.jp/datafile/seiseki/g1/kikka/result/kikka2010.html
2010_京都_スワンＳ,2010,10/30（土）,スワンＳ,Kyoto,,0.0,Turf,1400,,,14,https://www.jra.go.jp/datafile/seiseki/replay/2010/093.html
2010_東京_天皇賞（秋）,2010,10/31（日）,Emperor's Cup (Autumn),Tokyo,,0.0,Turf,2000,,,18,https://www.jra.go.jp/datafile/seiseki/g1/akiten/result/akiten2010.html
2010_京都_ファンタジーＳ,2010,11/6（土）,ファンタジーＳ,Kyoto,,0.0,Turf,1400,,,17,https://www.jra.go.jp/datafile/seiseki/replay/2010/094.html
2010_東京_アルゼンチン共和国杯,2010,11/7（日）,アルゼンチン共和国杯,Tokyo,,0.0,Turf,2500,,,18,https://www.jra.go.jp/datafile/seiseki/replay/2010/095.html
2010_京都_みやこＳ,2010,11/7（日）,みやこＳ,Kyoto,,0.0,,1800,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2010/096.html
2010_東京_京王杯２歳Ｓ,2010,11/13（土）,京王杯２歳Ｓ,Tokyo,,0.0,Turf,1400,,,15,https://www.jra.go.jp/datafile/seiseki/replay/2010/097.html
2010_京都_京都ジャンプＳ,2010,11/13（土）,京都ジャンプＳ,Kyoto,,0.0,,3170,,,12,https://www.jra.go.jp/datafile/seiseki/replay/2010/098.html
2010_東京_武蔵野Ｓ,2010,11/14（日）,武蔵野Ｓ,Tokyo,,0.0,,1600,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2010/099.html
2010_京都_エリザベス女王杯,2010,11/14（日）,Queen Elizabeth II Cup,Kyoto,,0.0,Turf,2200,,,18,https://www.jra.go.jp/datafile/seiseki/g1/eliza/result/eliza2010.html
2010_東京_東スポ杯２歳Ｓ,2010,11/20（土）,東スポ杯２歳Ｓ,Tokyo,,0.0,Turf,1800,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2010/100.html
2010_福島_福島記念,2010,11/20（土）,福島記念,Fukushima,,0.0,Turf,2000,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2010/101.html
2010_京都_マイルチャンピオンシップ,2010,11/21（日）,Mile Championship,Kyoto,,0.0,Turf,1600,,,18,https://www.jra.go.jp/datafile/seiseki/g1/mile/result/mile2010.html
2010_京都_京阪杯,2010,11/27（土）,京阪杯,Kyoto,,0.0,Turf,1200,,,18,https://www.jra.go.jp/datafile/seiseki/replay/2010/102.html
2010_東京_ジャパンＣ,2010,11/28（日）,Japan Cup,Tokyo,,0.0,Turf,2400,,,18,https://www.jra.go.jp/datafile/seiseki/g1/jc/result/jc2010.html
2010_中山_ステイヤーズＳ,2010,12/4（土）,ステイヤーズＳ,Nakayama,,0.0,Turf,3600,,,15,https://www.jra.go.jp/datafile/seiseki/replay/2010/103.html
2010_阪神_鳴尾記念,2010,12/4（土）,鳴尾記念,Hanshin,,0.0,Turf,1800,,,12,https://www.jra.go.jp/datafile/seiseki/replay/2010/104.html
2010_阪神_ジャパンＣダート,2010,12/5（日）,Japan Cup Dirt,Hanshin,,0.0,,1800,,,16,https://www.jra.go.jp/datafile/seiseki/g1/jcd/result/jcd2010.html
2010_小倉_中日新聞杯,2010,12/11（土）,中日新聞杯,Kokura,,0.0,Turf,2000,,,18,https://www.jra.go.jp/datafile/seiseki/replay/2010/105.html
2010_中山_カペラＳ,2010,12/12（日）,カペラＳ,Nakayama,,0.0,,1200,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2010/106.html
2010_阪神_阪神ジュベナイルＦ,2010,12/12（日）,Hanshin Juvenile Fillies,Hanshin,,0.0,Turf,1600,,,18,https://www.jra.go.jp/datafile/seiseki/g1/hjf/result/hjf2010.html
2010_阪神_阪神Ｃ,2010,12/18（土）,阪神Ｃ,Hanshin,,0.0,Turf,1400,,,17,https://www.jra.go.jp/datafile/seiseki/replay/2010/107.html
2010_中山_朝日杯フューチュリティＳ,2010,12/19（日）,Asahi Hai Futurity Stakes,Nakayama,,0.0,Turf,1600,,,16,https://www.jra.go.jp/datafile/seiseki/g1/afs/result/afs2010.html
2010_小倉_愛知杯,2010,12/19（日）,Aichi Hai,Kokura,,0.0,Turf,2000,,,18,https://www.jra.go.jp/datafile/seiseki/replay/2010/108.html
2010_中山_中山大障害,2010,12/25（土）,Nakayama Daishogai,Nakayama,,0.0,,4100,,,12,https://www.jra.go.jp/datafile/seiseki/g1/daishogai/result/daishogai2010.html
2010_阪神_ラジオＮＩＫＫＥＩ杯２歳Ｓ,2010,12/25（土）,ラジオＮＩＫＫＥＩ杯２歳Ｓ,Hanshin,,0.0,Turf,2000,,,15,https://www.jra.go.jp/datafile/seiseki/replay/2010/109.html
2010_中山_有馬記念,2010,12/26（日）,Arima Kinen,Nakayama,,0.0,Turf,2500,,,16,https://www.jra.go.jp/datafile/seiseki/g1/arima/result/arima2010.html
2011_中山_中山金杯,2011,1/5（水）,Nakayama Kimpai,Nakayama,,0.0,Turf,2000,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2011/001.html
2011_京都_京都金杯,2011,1/5（水）,Kyoto Kimpai,Kyoto,,0.0,Turf,1600,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2011/002.html
2011_京都_シンザン記念,2011,1/9（日）,Shinzan Kinen,Kyoto,,0.0,Turf,1600,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2011/003.html
2011_中山_フェアリーＳ,2011,1/10（祝・月）,Fairy Stakes,Nakayama,,0.0,Turf,1600,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2011/004.html
2011_中山_京成杯,2011,1/16（日）,Keisei Hai,Nakayama,,0.0,Turf,2000,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2011/005.html
2011_京都_日経新春杯,2011,1/16（日）,Nikkei Shinshun Hai,Kyoto,,0.0,Turf,2400,,,13,https://www.jra.go.jp/datafile/seiseki/replay/2011/006.html
2011_中山_アメリカＪＣＣ,2011,1/23（日）,アメリカＪＣＣ,Nakayama,,0.0,Turf,2200,,,11,https://www.jra.go.jp/datafile/seiseki/replay/2011/007.html
2011_京都_平安Ｓ,2011,1/23（日）,平安Ｓ,Kyoto,,0.0,,1800,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2011/008.html
2011_京都_シルクロードＳ,2011,1/29（土）,シルクロードＳ,Kyoto,,0.0,Turf,1200,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2011/009.html
2011_東京_根岸Ｓ,2011,1/30（日）,根岸Ｓ,Tokyo,,0.0,,1400,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2011/010.html
2011_京都_京都牝馬Ｓ,2011,1/30（日）,京都牝馬Ｓ,Kyoto,,0.0,Turf,1600,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2011/011.html
2011_小倉_小倉大賞典,2011,2/5（土）,小倉大賞典,Kokura,,0.0,Turf,1800,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2011/012.html
2011_東京_東京新聞杯,2011,2/6（日）,東京新聞杯,Tokyo,,0.0,Turf,1600,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2011/013.html
2011_京都_きさらぎ賞,2011,2/6（日）,きさらぎ賞,Kyoto,,0.0,Turf,1800,,,12,https://www.jra.go.jp/datafile/seiseki/replay/2011/014.html
2011_東京_クイーンＣ,2011,2/12（土）,クイーンＣ,Tokyo,,0.0,Turf,1600,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2011/015.html
2011_東京_共同通信杯,2011,2/13（日）,共同通信杯,Tokyo,,0.0,Turf,1800,,,13,https://www.jra.go.jp/datafile/seiseki/replay/2011/016.html
2011_京都_京都記念,2011,2/13（日）,Kyoto Kinen,Kyoto,,0.0,Turf,2200,,,12,https://www.jra.go.jp/datafile/seiseki/replay/2011/017.html
2011_東京_ダイヤモンドＳ,2011,2/19（土）,ダイヤモンドＳ,Tokyo,,0.0,Turf,3400,,,16,https://www.jra.go.jp/datafile/seiseki/replay/2011/018.html
